ModelName,testAccuracy,testF1,testPrecision,testRecall
H1LogRegSim_5,1.0,1.0,1.0,1.0
H1LogRegSim_real,0.9840590054722818,0.9833624302676495,0.9843185476595389,0.9824518655816914
H1SVMSim_5,1.0,1.0,1.0,1.0
H1SVMSim_real,0.9840590054722818,0.9833624302676495,0.9843185476595389,0.9824518655816914
H1KNNSim_5,1.0,1.0,1.0,1.0
H1KNNSim_real,0.9840590054722818,0.9833725331165,0.9840169284690591,0.9827494255194384
