feature,score
LOC110502967_1,1.3217734120419429
LOC100136247_1,1.2900888542321916
LOC110506123_2,1.2872819638221866
LOC110529279_1,1.2603984952020661
col10a1a_1,1.2260844322639624
LOC110488402_1,1.2063586955020327
LOC110494311_2,1.2016488031729624
rbp4_1,1.1986359373090734
si:ch211-222l21.1_1,1.196890057913645
LOC110538348_1,1.195091004859342
LOC110535859_1,1.1941239310869478
LOC110534249_1,1.1929706303937664
LOC110499539_1,1.1845251037467779
LOC110500376_1,1.174290769385028
LOC110534497_1,1.1700236386770984
LOC110494311_1,1.167397407638672
LOC110529615_1,1.1622679439165309
LOC110531775_1,1.1622245906398134
LOC110506123_3,1.1605595554062296
ncbp2_1,1.1585600096135804
LOC110491380_1,1.156837729516634
LOC110530043_1,1.1538921358207068
LOC110526482_1,1.1498375944628498
nop56_1,1.1475870775431083
ppib_1,1.1473551903268646
LOC110528049_1,1.145838761607766
LOC118938378_5,1.1457048746011227
LOC110538198_1,1.1452195167730876
LOC110486535_1,1.1430949162871786
LOC110527312_1,1.1425164336775815
LOC110531541_1,1.1399253611666254
LOC110494624_2,1.1393756756941456
LOC110528492_1,1.137887395190966
LOC110526393_1,1.137789865405936
LOC110531699_1,1.1377539566950883
chac1_1,1.1377353404749335
LOC110533444_1,1.1361403272689585
LOC110504922_1,1.1279188627655372
LOC110520654_1,1.1262966706731439
mrpl33_1,1.1249982394820104
hs3st3b1b_1,1.123965930485399
LOC110538737_1,1.123725244603497
myo1ea_1,1.1187622641556016
h3f3d_1,1.118313926040291
cdk2_1,1.1172132862045507
LOC110504971_1,1.1158983547591843
rfc5_1,1.115661750038223
LOC110508402_1,1.1149054178770923
LOC110502450_1,1.1143181988372035
cope_1,1.105624164862518
LOC110525404_1,1.1053014356699953
LOC110508401_1,1.1050762871424182
LOC110531561_1,1.1039532326097976
cpsf3_1,1.103892956584088
CYTB_1,1.1032558108995352
LOC110532515_6,1.1025373971314625
LOC110510207_3,1.099944167122738
LOC110529011_7,1.0990971821360471
LOC100136058_1,1.0979462895774534
klhl24a_1,1.0978091763354807
si:ch211-37e10.2_1,1.0964635396229077
LOC110492615_1,1.0950623442840186
mrps30_1,1.0950366857152565
itgb7_1,1.094160170020806
cdca7a_2,1.0922784443921847
LOC110508718_1,1.0922646257366337
LOC110493559_1,1.089828838537208
tfap2c_5,1.0893413445179636
mrpl51_2,1.0882867275147836
LOC110504987_1,1.0875169405036225
LOC110536211_1,1.0874419178352552
gbg5_1,1.0869569437879747
LOC110535689_1,1.0852112370093732
zfyve1_1,1.0836465765915981
LOC110522561_1,1.0824941537503174
LOC110503939_1,1.0818580470491788
LOC110507010_1,1.0812087921302567
LOC110537902_2,1.0788605737837094
LOC110485466_2,1.0785412784004365
LOC110497386_1,1.0774938266123861
arhgap20b_2,1.0761722482736131
LOC110534430_1,1.0757633793600536
LOC110530649_1,1.074522654758291
LOC110506495_1,1.0744559854501605
dbpb_2,1.0740490709991937
LOC110495705_1,1.0728604633105858
LOC110504782_1,1.0724154217135577
LOC100135963_1,1.071351304999892
selenon_1,1.0688924490506855
msh6_1,1.0682478393445136
LOC110511819_1,1.0669811484202683
LOC110534228_1,1.064849828381587
LOC100750227_14,1.064673559817284
LOC110499269_1,1.0642332946618653
g3bp1_1,1.064000229171887
LOC110520676_1,1.063729146032717
LOC110532516_1,1.0636779530418785
mrps18b_1,1.0635875746411454
LOC110494395_1,1.062433767723477
LOC110508914_1,1.0623757253473995
mcm3_1,1.062146543686766
bglapl_1,1.0618481260864796
nhp2_1,1.0617545095580805
