feature,outlierCount,outlierCount%,level,statMeanDiff,statMedianDiff,statVarDiff,mi
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Burkholderiaceae|g__Polynucleobacter,165,46.875,6,-0.35255265,0.00301,-42.97525,0.047562548931157966
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Enterococcaceae|g__Vagococcus,0,0.0,6,0.08219659,0.38243008,0.124073744,0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Staphylococcaceae|g__Staphylococcus,65,18.46590909090909,6,-0.0074034333,-0.09332502,0.03521973,0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Ligilactobacillus,19,5.3977272727272725,6,-0.032909393,0.194875,-0.034375668,0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Latilactobacillus,18,5.113636363636363,6,0.11459839,0.31376004,0.38880205,0.0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Peptostreptococcaceae|g__Paeniclostridium,94,26.704545454545453,6,0.019436598,-0.0042000115,0.018599972,0.018560565559546882
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Weissella,24,6.818181818181818,6,0.016299635,0.09931502,0.0058350563,0.0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__GGB42674,39,11.079545454545455,6,0.008820325,0.023575008,-0.022951558,0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Enterococcaceae|g__Enterococcus,28,7.954545454545454,6,-0.089791656,0.090410054,-2.9260368,0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Limosilactobacillus,72,20.454545454545453,6,-0.059681058,-0.048915,-0.12200579,0.0
k__Bacteria|p__Firmicutes|c__Tissierellia|o__Tissierellales|f__Peptoniphilaceae|g__Peptoniphilus,101,28.693181818181817,6,0.007895127,-0.0042850003,0.0021954598,0.0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Alteromonadales|f__Shewanellaceae|g__Shewanella|s__Shewanella_sp_SNU_WT4,149,42.32954545454545,7,-0.34360838,-0.095645,0.2692566,0.0
k__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales|f__Fusobacteriaceae|g__Cetobacterium|s__Cetobacterium_sp_8H,149,42.32954545454545,7,-0.60409546,1.18185,-1.8583984,0.0
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Neisseriales|f__Neisseriaceae|g__Craterilacuibacter|s__Craterilacuibacter_sp_RT1T,151,42.89772727272727,7,-0.065512836,-0.017305002,-0.6934314,0.006427111246756878
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Peptostreptococcaceae|g__Peptostreptococcus|s__Peptostreptococcus_russellii,27,7.670454545454546,7,-0.14491081,1.1114101,-59.80454,0.010088267402435402
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Carnobacteriaceae|g__Carnobacterium|s__Carnobacterium_maltaromaticum,0,0.0,7,0.06395243,0.0,4.3836365,0.027438582639569775
