feature,outlierCount,outlierCount%,level,statMeanDiff,statMedianDiff,statVarDiff,mi
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Pediococcus|s__Pediococcus_pentosaceus,0,0.0,7,0.0003120359,0.0,5.6530116e-06,0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lapidilactobacillus|s__Lapidilactobacillus_dextrinicus,0,0.0,7,0.00016576913,0.0,5.5152286e-06,0.0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Sellimonas|s__Sellimonas_caecigallum,0,0.0,7,0.0011271699,0.0,1.5755366e-05,0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Limosilactobacillus|s__Lactobacillus_timonensis,0,0.0,7,-0.0011297036,0.0,-2.6970825e-05,0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Leuconostoc|s__Leuconostoc_carnosum,0,0.0,7,-7.177575e-05,0.0,-3.4820077e-06,0.027839976056722726
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Carnobacteriaceae|g__Atopostipes|s__Atopostipes_suicloacalis,0,0.0,7,0.00017318776,0.0,2.4649073e-06,0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Thermoactinomycetaceae|g__Thermoactinomyces|s__Thermoactinomyces_vulgaris,0,0.0,7,0.00056727795,0.0,6.05521e-05,0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Levilactobacillus|s__Levilactobacillus_huananensis,0,0.0,7,7.0194714e-05,0.0,6.993432e-06,0.021004810267402085
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Eubacteriales_Family_XIII_Incertae_Sedis|g__GGB2980|s__GGB2980_SGB3962,0,0.0,7,-0.0011412916,0.0,-4.4362896e-05,0.01599568008805985
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Limosilactobacillus|s__Limosilactobacillus_mucosae,0,0.0,7,-0.0023451503,0.0,-0.00010545848,0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Enterococcaceae|g__Enterococcus|s__Enterococcus_hermanniensis,0,0.0,7,-0.0008306112,0.0,-3.4420824e-05,0.013738922700654577
k__Bacteria|p__Firmicutes|c__Tissierellia|o__Tissierellales|f__Peptoniphilaceae|g__GGB4813|s__GGB4813_SGB6659,0,0.0,7,0.00013009587,0.0,-1.9034815e-08,0.0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Clostridiaceae|g__Clostridium|s__Clostridium_tepidum,0,0.0,7,0.00022702347,0.0,1.6930439e-06,0.0
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Micrococcales|f__Micrococcaceae|g__Paeniglutamicibacter|s__Paeniglutamicibacter_gangotriensis,0,0.0,7,-4.6000398e-05,0.0,-4.8541597e-07,0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Lactococcus|s__Lactococcus_cremoris,0,0.0,7,0.0078849,0.0,0.0051251343,0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Paucilactobacillus|s__Paucilactobacillus_nenjiangensis,0,0.0,7,-0.00032089755,0.0,-4.6055493e-06,0.0
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Corynebacteriales|f__Corynebacteriaceae|g__Corynebacterium|s__Corynebacterium_ammoniagenes,0,0.0,7,-0.0009853235,0.0,-2.4521058e-05,0.0
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobrevibacter|s__Methanobrevibacter_SGB21046,0,0.0,7,3.0271942e-05,0.0,1.63115e-05,0.0477045738351074
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Enterococcaceae|g__Enterococcus|s__Enterococcus_lemanii,0,0.0,7,0.00014124159,0.0,4.275622e-06,0.0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Lachnoclostridium|s__Lachnoclostridium_sp_An138,0,0.0,7,-3.916644e-05,0.0,-3.609152e-07,0.0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__GGB3449|s__GGB3449_SGB4601,0,0.0,7,0.00041931123,0.0,2.4300949e-05,0.03715601818078729
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Paenibacillaceae|g__Aneurinibacillus|s__Aneurinibacillus_sp_XH2,0,0.0,7,0.0002737375,0.0,4.0027844e-06,0.025834149982128407
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Bacillus|s__Bacillus_badius,0,0.0,7,-1.0356685e-05,0.0,-8.490981e-07,0.0
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Micrococcales|f__Micrococcaceae|g__Glutamicibacter|s__Glutamicibacter_ardleyensis,0,0.0,7,-0.0010373627,0.0,-0.00019482584,0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Bacillus|s__Bacillus_subtilis,0,0.0,7,0.003461024,0.0,0.0020298557,0.0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Mediterraneibacter|s__Mediterraneibacter_SGB59850,0,0.0,7,0.00019182148,0.0,6.896673e-06,0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Leuconostoc|s__Leuconostoc_citreum,0,0.0,7,0.00026068251,0.0,7.4782683e-06,0.016721350969615578
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Oceanobacillus|s__Oceanobacillus_indicireducens,0,0.0,7,-3.0698247e-06,0.0,-2.1842254e-08,0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Thermoactinomycetaceae|g__Kroppenstedtia|s__Kroppenstedtia_eburnea,0,0.0,7,-0.0023636743,0.0,-0.0009933665,0.017250927251341253
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Heyndrickxia|s__Heyndrickxia_oleronia,0,0.0,7,6.9706046e-05,0.0,3.0246534e-07,0.02656833361371036
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Paenibacillaceae|g__Paenibacillus|s__Paenibacillus_cookii,0,0.0,7,-4.046932e-05,0.0,-5.590222e-07,0.04775756244995355
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Secundilactobacillus|s__Secundilactobacillus_similis,0,0.0,7,-0.001035596,0.0,-2.0944946e-05,0.01841879673414426
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Staphylococcaceae|g__Staphylococcus|s__Staphylococcus_xylosus,0,0.0,7,-1.7635291e-05,0.0,1.3266636e-06,0.0
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Micrococcales|f__Micrococcaceae|g__Rothia|s__Rothia_endophytica,0,0.0,7,-0.00039209146,0.0,-2.1957923e-05,0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_gallolyticus,0,0.0,7,0.00046124146,0.0,1.5992024e-05,0.0
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Micrococcales|f__Micrococcaceae|g__Glutamicibacter|s__Glutamicibacter_creatinolyticus,0,0.0,7,-2.5850622e-06,0.0,-1.4490123e-08,0.020173727867573765
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_minor,0,0.0,7,2.5468646e-05,0.0,6.743776e-07,0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Staphylococcaceae|g__Jeotgalicoccus|s__Jeotgalicoccus_halotolerans,0,0.0,7,-1.764638e-06,0.0,-3.6796942e-07,0.017538712531963263
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Paenibacillaceae|g__Aneurinibacillus|s__Aneurinibacillus_aneurinilyticus,0,0.0,7,-5.9846294e-05,0.0,-5.3028907e-07,0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Enterococcaceae|g__Enterococcus|s__Enterococcus_aquimarinus,0,0.0,7,0.00048527017,0.0,5.5998125e-06,0.0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Peptostreptococcaceae|g__Romboutsia|s__Romboutsia_ilealis,0,0.0,7,-0.00015317986,0.0,-1.5493539e-06,0.0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Clostridiaceae|g__Clostridium|s__Clostridium_sp_Marseille_P3244,0,0.0,7,0.0002054703,0.0,1.2709118e-06,0.00989820754188786
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Neobacillus|s__Neobacillus_sedimentimangrovi,0,0.0,7,1.5863105e-05,0.0,-4.0965773e-09,0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Siminovitchia|s__Siminovitchia_fortis,0,0.0,7,4.0693976e-05,0.0,1.4717003e-07,0.0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Lacrimispora|s__Lacrimispora_aerotolerans,0,0.0,7,-1.1660208e-05,0.0,-4.679333e-08,0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Weissella|s__Weissella_minor,0,0.0,7,-2.4563866e-05,0.0,-1.8891797e-07,0.0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Eubacteriaceae|g__Eubacterium|s__Eubacterium_sp_An11,0,0.0,7,0.0007682338,0.0,1.2720206e-05,0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Enterococcaceae|g__Vagococcus|s__Vagococcus_salmoninarum,0,0.0,7,0.0003631568,0.0,3.32189e-05,0.04321958212400734
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Lachnoclostridium|s__Lachnoclostridium_sp_An196,0,0.0,7,2.8113504e-06,0.0,3.1161322e-09,0.032031259066079176
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Enterococcaceae|g__Enterococcus|s__Enterococcus_gallinarum,0,0.0,7,-0.0009389471,0.0,-5.710911e-05,0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Companilactobacillus|s__Companilactobacillus_suantsaicola,0,0.0,7,3.5058823e-05,0.0,4.070904e-07,0.0
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Corynebacteriales|f__Corynebacteriaceae|g__Corynebacterium|s__Corynebacterium_kalinowskii,0,0.0,7,-7.553865e-08,0.0,-2.4579672e-11,0.0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Clostridiaceae|g__Hathewaya|s__Hathewaya_massiliensis,0,0.0,7,1.1884851e-05,0.0,1.3994314e-07,0.00040995224417694764
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Bacillus|s__Bacillus_andreraoultii,0,0.0,7,9.090909e-07,0.0,1.4545455e-10,0.014569618884061608
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Staphylococcaceae|g__Staphylococcus|s__Staphylococcus_nepalensis|t__SGB7839,110,31.25,8,-0.008435875,-0.022879995,0.0016692113,0.0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Clostridiaceae|g__Clostridium|s__Clostridium_novyi|t__SGB6215,117,33.23863636363637,8,0.007975109,-0.013859998,0.0038030595,0.0033605952019835073
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Lactococcus|s__Lactococcus_carnosus|t__SGB7987,80,22.727272727272727,8,0.006448075,-0.013125002,0.011886264,0.0009618637201578295
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_pullorum|t__SGB17264,58,16.477272727272727,8,-0.016808301,0.008499995,-0.018101826,0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Limosilactobacillus|s__Limosilactobacillus_vaginalis|t__SGB7098,66,18.75,8,-0.015607953,0.02696,-0.008038033,0.003928190611985682
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Enterococcaceae|g__Enterococcus|s__Enterococcus_gilvus|t__SGB7929,39,11.079545454545455,8,-0.08442712,0.003704995,-2.83955,0.0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Clostridiaceae|g__Clostridium|s__Clostridium_botulinum|t__SGB6217,147,41.76136363636363,8,0.0053967386,-0.01041,0.0012989216,0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Staphylococcaceae|g__Mammaliicoccus|s__Mammaliicoccus_lentus|t__SGB7817,144,40.90909090909091,8,-0.003059283,0.00043999963,-0.0005074744,0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Companilactobacillus|s__Companilactobacillus_paralimentarius|t__SGB7238,160,45.45454545454545,8,-0.0201087,-0.005275,-0.0044528865,0.027106460924926745
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Peptostreptococcaceae|g__Romboutsia|s__Romboutsia_timonensis|t__SGB6148,142,40.34090909090909,8,0.0019855648,-0.00779,0.00083761127,0.005832717158346323
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_pseudolongum|t__SGB17279,89,25.28409090909091,8,-0.031075284,-0.024059996,-0.023802519,0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Latilactobacillus|s__Latilactobacillus_fuchuensis|t__SGB7251,68,19.318181818181817,8,0.016914755,-0.017129995,0.015761731,0.0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Merdimonas|s__Merdimonas_faecis|t__SGB4626,78,22.15909090909091,8,-0.014064789,-0.015665002,-0.006449893,0.00507015593733251
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Pediococcus|s__Pediococcus_acidilactici|t__SGB7168,161,45.73863636363637,8,-0.0059305467,-0.010694999,-0.0004912757,0.008374794628790205
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__GGB3609|s__GGB3609_SGB4877|t__SGB4877,0,0.0,8,0.0039133877,0.0,0.0006398739,0.014251070033994173
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Clostridiaceae|g__Clostridium|s__Clostridium_niameyense|t__SGB29110,110,31.25,8,0.005351886,-0.008295,0.0009801309,0.011222313235621728
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Clostridiaceae|g__Clostridiaceae_unclassified|s__Clostridiaceae_bacterium_14S0207|t__SGB24879,93,26.420454545454547,8,0.0034434423,-0.0015500002,0.0007510609,0.007638075124162702
k__Bacteria|p__Firmicutes|c__Tissierellia|o__Tissierellales|f__Tissierellaceae|g__Anaerosalibacter|s__Anaerosalibacter_bizertensis|t__SGB59389,0,0.0,8,0.0046099406,-0.00205,0.00050347263,0.040836195476757764
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Clostridiaceae|g__Clostridium|s__Clostridium_SGB6173|t__SGB6173,0,0.0,8,0.0012488272,-0.00237,0.00029456662,0.0033181511767312877
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lentilactobacillus|s__Lentilactobacillus_kribbianus|t__SGB80454,74,21.022727272727273,8,-0.00059016794,0.012704991,-0.0003148038,0.0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__Drancourtella|s__Drancourtella_massiliensis|t__SGB4619,76,21.59090909090909,8,0.008132979,-0.024205,0.002066357,0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Staphylococcaceae|g__Staphylococcus|s__Staphylococcus_cohnii|t__SGB7840,167,47.44318181818182,8,-0.0008527525,-0.0053,-0.000553356,0.023373066400129927
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Staphylococcaceae|g__Nosocomiicoccus|s__Nosocomiicoccus_ampullae|t__SGB82656,147,41.76136363636363,8,-0.0014605597,-0.00605,5.030562e-05,0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Oceanobacillus|s__Oceanobacillus_caeni|t__SGB7668,0,0.0,8,0.0039992593,0.0,0.00036478852,0.021418723002231577
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Parageobacillus|s__Parageobacillus_toebii|t__SGB8351,0,0.0,8,0.005710189,0.0,0.0007540185,0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Staphylococcaceae|g__Staphylococcus|s__Staphylococcus_cohnii|t__SGB7841,149,42.32954545454545,8,-0.0034623444,-0.01204,0.0001194505,0.026409303100261683
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Turicibacteraceae|g__Turicibacter|s__Turicibacter_bilis|t__SGB6847,0,0.0,8,0.003919244,0.0,0.00032869622,0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Weissella|s__Weissella_jogaejeotgali|t__SGB7119,142,40.34090909090909,8,-0.002974458,-0.01481,-9.1732014e-05,0.020293224813696442
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Staphylococcaceae|g__Staphylococcus|s__Staphylococcus_saprophyticus|t__SGB7848,0,0.0,8,-0.0010191612,-0.00407,0.00071028504,0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Planococcaceae|g__Savagea|s__Savagea_serpentis|t__SGB82711,139,39.48863636363637,8,0.007861888,0.0038950006,0.002293942,0.0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Clostridiaceae|g__Clostridium|s__Clostridium_botulinum|t__SGB6218,0,0.0,8,0.0026493706,0.0,0.00025173527,0.05086873812559922
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Clostridiaceae|g__Clostridium|s__Clostridium_cochlearium|t__SGB6224,0,0.0,8,0.0025860798,0.0,0.00020113957,0.0190346378101236
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Enterococcaceae|g__Enterococcus|s__Enterococcus_faecium|t__SGB7967,136,38.63636363636363,8,0.00066770986,-0.01317,0.0006920439,0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Planococcaceae|g__Kurthia|s__Kurthia_massiliensis|t__SGB29941,86,24.431818181818183,8,-0.00517058,-0.0031899996,-0.00087096356,0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Enterococcaceae|g__Vagococcus|s__Vagococcus_sp_DIV0080|t__SGB94568,83,23.579545454545453,8,-0.0003106743,-0.009835001,0.00020954874,0.01015932019555077
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Clostridiaceae|g__Paraclostridium|s__Paraclostridium_bifermentans|t__SGB6144,169,48.01136363636363,8,0.003830744,-0.001865,0.00037461414,0.002315937853601513
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Carnobacteriaceae|g__Carnobacterium|s__Carnobacterium_divergens|t__SGB7903,101,28.693181818181817,8,-0.0034766495,-0.009399999,-0.00015943008,0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Planococcaceae|g__Ureibacillus|s__Ureibacillus_thermosphaericus|t__SGB29943,170,48.29545454545455,8,0.0032927645,-7.499999e-05,0.00022458224,0.0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Anaerostipes|s__Anaerostipes_butyraticus|t__SGB59711,86,24.431818181818183,8,0.0020536892,-0.00622,0.00018656091,0.01006511322455328
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Planococcaceae|g__Metalysinibacillus|s__Metalysinibacillus_saudimassiliensis|t__SGB7503,75,21.306818181818183,8,0.010905471,0.0014849994,0.0013728617,0.017631027094192175
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Weizmannia|s__Weizmannia_coagulans|t__SGB7729,0,0.0,8,4.7972426e-06,0.0,0.00017856281,0.022573640990960486
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Mediterraneibacter|s__Mediterraneibacter_glycyrrhizinilyticus|t__SGB59852,59,16.761363636363637,8,0.0022506565,-0.0020849966,0.00023145368,0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Carnobacteriaceae|g__Granulicatella|s__Granulicatella_sp_s8|t__SGB109726,109,30.96590909090909,8,0.0017500687,0.0017100014,0.000103175174,0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Enterococcaceae|g__Enterococcus|s__Enterococcus_viikkiensis|t__SGB49090,149,42.32954545454545,8,-0.011463698,-0.01825,-0.0020547071,0.0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Blautia|s__Blautia_sp_An46|t__SGB4800,121,34.375,8,0.0053061806,-0.009554999,0.001031396,0.0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__GGB3451|s__GGB3451_SGB4604|t__SGB4604,155,44.03409090909091,8,0.0054088477,-0.0019199997,0.0005437331,0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Staphylococcaceae|g__Macrococcus|s__Macrococcus_caseolyticus|t__SGB7869,173,49.14772727272727,8,0.0070706755,-0.00239,0.00796947,0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Enterococcaceae|g__Vagococcus|s__Vagococcus_carniphilus|t__SGB29898,62,17.613636363636363,8,-0.0038402453,0.0031500012,-0.00022743223,0.0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Lachnoclostridium|s__Lachnoclostridium_sp_An76|t__SGB4603,115,32.67045454545455,8,-0.0024575405,-0.0034400001,-0.0005028569,0.02363576336397122
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Eubacteriales_Family_XIII_Incertae_Sedis|g__GGB32387|s__GGB32387_SGB47381|t__SGB47381,0,0.0,8,0.0013276339,0.0,1.9396539e-05,0.014457409880460181
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lactobacillus|s__Lactobacillus_acetotolerans|t__SGB7027,0,0.0,8,-0.0029962887,0.0,-8.393871e-05,0.012319595626340218
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Staphylococcaceae|g__Jeotgalicoccus|s__Jeotgalicoccus_meleagridis|t__SGB64159,0,0.0,8,0.0025148485,0.0,0.00013180648,0.05611301512320521
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Corynebacteriales|f__Corynebacteriaceae|g__Corynebacterium|s__Corynebacterium_stationis|t__SGB17128,127,36.07954545454545,8,-0.0067370087,0.013099998,-0.0044042766,0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Cerasibacillus|s__Cerasibacillus_terrae|t__SGB82749,0,0.0,8,0.0020177094,0.0,9.110984e-05,0.03216688124322653
k__Bacteria|p__Firmicutes|c__Tissierellia|o__Tissierellales|f__Peptoniphilaceae|g__GGB78790|s__GGB78790_SGB106402|t__SGB106402,0,0.0,8,-0.00040929578,0.0,3.5649457e-05,0.02442043316726572
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_varani|t__SGB8213,116,32.95454545454545,8,0.0008932948,-0.0047050007,9.798829e-05,0.0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Lachnoclostridium|s__Lachnoclostridium_SGB4602|t__SGB4602,158,44.88636363636363,8,0.001576703,0.0028899992,0.00023074751,0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Enterococcaceae|g__Enterococcus|s__Enterococcus_devriesei|t__SGB7928,147,41.76136363636363,8,-0.0089304745,-0.002460001,-0.0013794969,0.043591090590072046
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_suis|t__SGB101628,157,44.60227272727273,8,0.002523061,-0.00301,0.00023676781,0.0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Clostridiaceae|g__Clostridium|s__Clostridium_botulinum|t__SGB6216,0,0.0,8,0.0012058071,0.0,9.705617e-05,0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Cerasibacillus|s__Cerasibacillus_quisquiliarum|t__SGB82746,0,0.0,8,0.0011747004,0.0,7.8957266e-05,0.002800839771167851
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Enterococcaceae|g__Enterococcus|s__Enterococcus_hirae|t__SGB7970,161,45.73863636363637,8,-0.0007884875,-0.0076749995,4.595425e-05,0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_gallinaceus|t__SGB106288,132,37.5,8,0.0010528881,-0.00912,0.00021057716,0.03370907541606849
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Enterococcaceae|g__Enterococcus|s__Enterococcus_pseudoavium|t__SGB25240,96,27.272727272727273,8,-0.0032258146,0.0027600005,-0.00032929715,0.01269467086843723
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Enterococcaceae|g__Enterococcus|s__Enterococcus_faecalis|t__SGB7962,80,22.727272727272727,8,-0.0069513693,0.004470002,-0.003893367,0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_pluranimalium|t__SGB25257,134,38.06818181818182,8,0.00060585886,-0.0040450003,8.042832e-05,0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_lutetiensis|t__SGB8021,163,46.30681818181818,8,0.000887692,-0.0076,0.00019983482,0.017131963916045434
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Carnobacteriaceae|g__Carnobacterium|s__Carnobacterium_mobile|t__SGB29872,0,0.0,8,-0.0010455882,0.0,-2.9225022e-05,0.009078715031851203
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Planococcaceae|g__Metalysinibacillus|s__Metalysinibacillus_jejuensis|t__SGB29966,0,0.0,8,0.010283668,0.0,0.010059006,0.0
